v1,v2,Phrases
ham,1,SanjanaJoshi @okhdfc
ham,0,YugKapoor @okhdfc
spam,1,TaraChoudhury @oksbi
ham,0,VanyaAgarwal @okaxl
ham,0,SuhaniYadav @okaxl
spam,1,rachelGreen @oksbi
ham,0,ArnavSingh @okicici
ham,0,AryaTiwari @oksbi
spam,1,AvyaanBansal @okhdfc
spam,1,AishaChoudhury @oksbi
ham,0,DhruvMehta @okicici
spam,1,MiraChoudhury @okaxl
spam,1,SaanviMehta @okaxl
ham,0,AbhinavGupta @okybl
ham,0,VanyaAgarwal @oksbi
spam,1,RuhanBansal @okicici
ham,0,ShreyaKhanna @kbl
ham,0,MohitJain @okhdfc
ham,0,MohitJain @kbl
spam,1,SiyaShah @okicici
ham,0,rjk @okhdfc
ham,0,AnkitSharma @okaxl
ham,0,KritikaSingh @kbl
ham,0,AryanGupta @okicici
ham,0,PrishaSharma @okicici
ham,0,MiraChoudhury @kbl
ham,0,AmairaSingh @okhdfc
ham,0,ShivanshKumar @okicici
ham,0,ShivanshKumar @okhdfc
ham,0,AdvaitSingh @okicici
ham,0,IshaniDesai @okybl
ham,0,AvyaanBansal @okicici
ham,0,VivaanMehta @okaxl
ham,0,MohitJain @okaxl
spam,1,AyushKumar @okhdfc
ham,0,AmitJoshi @kbl
ham,0,NehaThakur @okaxl
ham,0,AhaanSharma @okybl
ham,0,RiaTiwari @okhdfc
ham,0,ArnavSingh @okybl
ham,0,RahulKumar @idbi
ham,0,rahul @oksbi
spam,1,AnayaMishra @oksbi
ham,0,NehaThakur @oksbi
ham,0,ShanayaPatel @idbi
ham,0,RiyaYadav @kbl
ham,0,VihaanSharma @okhdfc
ham,0,VivaanMehta @idbi
ham,0,AnviKapoor @idbi
ham,0,happysng @okybl
ham,0,SnehaThakur @okaxl
ham,0,IshanSharma @idbi
ham,0,IshitaChauhan @okybl
ham,0,PrishaSharma @oksbi
spam,1,IshanSharma @okhdfc
ham,0,YugKapoor @oksbi
spam,1,VanyaAgarwal @okaxl
ham,0,AmitJoshi @okhdfc
ham,0,VihaanSharma @idbi
ham,0,IshaniDesai @idbi
ham,0,RahulKumar @okybl
ham,0,MohitJain @kbl
ham,0,VivaanMehta @okaxl
ham,0,PrishaSharma @okhdfc
ham,0,AaryanJain @okhdfc
spam,1,AdvikaMehta @okaxl
ham,0,AdvikaMehta @okicici
spam,1,PranavGupta @okaxl
spam,1,ZoyaSingh @okicici
ham,0,rjk @okybl
ham,0,YashJoshi @kbl
ham,0,sunnysng @okicici
